codigo,provincia,componente,hogares_afectados,pct_total_hogares,pct_hogares_nbi,hogares,hogares_nbi
17,Pichincha,Capacidad economica,18931,1.9,13.73,994599,137877
17,Pichincha,Acceso a educacion basica,12365,1.24,8.97,994599,137877
17,Pichincha,Acceso a vivienda,11296,1.14,8.19,994599,137877
17,Pichincha,Acceso a servicios basicos,84120,8.46,61.01,994599,137877
17,Pichincha,Hacinamiento,35721,3.59,25.91,994599,137877
18,Tungurahua,Capacidad economica,5643,3.2,10.14,176227,55648
18,Tungurahua,Acceso a educacion basica,839,0.48,1.51,176227,55648
18,Tungurahua,Acceso a vivienda,9978,5.66,17.93,176227,55648
18,Tungurahua,Acceso a servicios basicos,48105,27.3,86.45,176227,55648
18,Tungurahua,Hacinamiento,8082,4.59,14.52,176227,55648
19,Zamora Chinchipe,Capacidad economica,1040,3.16,6.73,32872,15449
19,Zamora Chinchipe,Acceso a educacion basica,408,1.24,2.64,32872,15449
19,Zamora Chinchipe,Acceso a vivienda,619,1.88,4.01,32872,15449
19,Zamora Chinchipe,Acceso a servicios basicos,13522,41.14,87.53,32872,15449
19,Zamora Chinchipe,Hacinamiento,3151,9.59,20.4,32872,15449
20,Galapagos,Capacidad economica,50,0.51,1.84,9718,2713
20,Galapagos,Acceso a educacion basica,39,0.4,1.44,9718,2713
20,Galapagos,Acceso a vivienda,63,0.65,2.32,9718,2713
20,Galapagos,Acceso a servicios basicos,2195,22.59,80.91,9718,2713
20,Galapagos,Hacinamiento,584,6.01,21.53,9718,2713
21,Sucumbios,Capacidad economica,2612,4.42,7.99,59083,32695
21,Sucumbios,Acceso a educacion basica,735,1.24,2.25,59083,32695
21,Sucumbios,Acceso a vivienda,690,1.17,2.11,59083,32695
21,Sucumbios,Acceso a servicios basicos,29198,49.42,89.3,59083,32695
21,Sucumbios,Hacinamiento,5993,10.14,18.33,59083,32695
22,Orellana,Capacidad economica,1800,3.54,5.58,50843,32259
22,Orellana,Acceso a educacion basica,658,1.29,2.04,50843,32259
22,Orellana,Acceso a vivienda,753,1.48,2.33,50843,32259
22,Orellana,Acceso a servicios basicos,29969,58.94,92.9,50843,32259
22,Orellana,Hacinamiento,7377,14.51,22.87,50843,32259
23,Santo Domingo de los Tsachilas,Capacidad economica,7105,4.64,10.68,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a educacion basica,3483,2.27,5.23,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a vivienda,3965,2.59,5.96,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a servicios basicos,55159,35.98,82.9,153289,66536
23,Santo Domingo de los Tsachilas,Hacinamiento,12415,8.1,18.66,153289,66536
24,Santa Elena,Capacidad economica,4005,3.78,8.55,105932,46837
24,Santa Elena,Acceso a educacion basica,1107,1.05,2.36,105932,46837
24,Santa Elena,Acceso a vivienda,18494,17.46,39.49,105932,46837
24,Santa Elena,Acceso a servicios basicos,29322,27.68,62.6,105932,46837
24,Santa Elena,Hacinamiento,18661,17.62,39.84,105932,46837
